id,name,birthYear,primaryProfession,wikidataId,tvmazeId,sourceUrl
person-155,Harrison Ford,1942,Actor,Q81328,,https://www.wikidata.org/wiki/Q81328
person-156,Alec Guinness,1914,Actor,Q103894,,https://www.wikidata.org/wiki/Q103894
person-157,Carrie Fisher,1956,Actor,Q108941,,https://www.wikidata.org/wiki/Q108941
person-158,David Prowse,1935,Actor,Q128379,,https://www.wikidata.org/wiki/Q128379
person-159,Mark Hamill,1951,Actor,Q210447,,https://www.wikidata.org/wiki/Q210447
person-160,Frank Oz,1944,Actor,Q311319,,https://www.wikidata.org/wiki/Q311319
person-161,Ian McDiarmid,1944,Actor,Q315495,,https://www.wikidata.org/wiki/Q315495
person-162,Billy Dee Williams,1937,Actor,Q358345,,https://www.wikidata.org/wiki/Q358345
person-163,James Earl Jones,1931,Actor,Q203960,,https://www.wikidata.org/wiki/Q203960
person-164,Peter Cushing,1913,Actor,Q309589,,https://www.wikidata.org/wiki/Q309589
person-165,Phil Brown,1916,Actor,Q325398,,https://www.wikidata.org/wiki/Q325398
person-166,John Rhys-Davies,1944,Actor,Q16455,,https://www.wikidata.org/wiki/Q16455
person-167,Orlando Bloom,1977,Actor,Q44467,,https://www.wikidata.org/wiki/Q44467
person-168,Cate Blanchett,1969,Actor,Q80966,,https://www.wikidata.org/wiki/Q80966
person-169,Dominic Monaghan,1976,Actor,Q152165,,https://www.wikidata.org/wiki/Q152165
person-170,Liv Tyler,1977,Actor,Q168763,,https://www.wikidata.org/wiki/Q168763
person-171,Ian McKellen,1939,Actor,Q170510,,https://www.wikidata.org/wiki/Q170510
person-172,Viggo Mortensen,1958,Actor,Q171363,,https://www.wikidata.org/wiki/Q171363
person-173,Karl Urban,1972,Actor,Q132430,,https://www.wikidata.org/wiki/Q132430
person-174,Christopher Lee,1922,Actor,Q180338,,https://www.wikidata.org/wiki/Q180338
person-175,Sean Astin,1971,Actor,Q189351,,https://www.wikidata.org/wiki/Q189351
person-176,Marion Cotillard,1975,Actor,Q8927,,https://www.wikidata.org/wiki/Q8927
person-177,Leonardo DiCaprio,1974,Actor,Q38111,,https://www.wikidata.org/wiki/Q38111
person-178,Elliot Page,1987,Actor,Q173399,,https://www.wikidata.org/wiki/Q173399
