episodeId,personId,characterId,roleName,sourceUrl
episode-021,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-022,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-022,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-022,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-022,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-022,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-023,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-023,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-023,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-023,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-023,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-024,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-024,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-024,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-024,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-024,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-025,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-025,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-025,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-025,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-025,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-026,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-026,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-026,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-026,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-026,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-027,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-027,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-027,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
