id,seriesId,seasonId,title,seasonNumber,episodeNumber,year,runtime,rating,ratingSource,description,tvmazeId,sourceUrl
episode-063,series-006,season-016,Health Care,1,3,2005,30,7.9,TVmaze average rating,Dwight ends up in charge of picking a new health care plan.,47642,https://www.tvmaze.com/episodes/47642/the-office-1x03-health-care
episode-064,series-006,season-016,The Alliance,1,4,2005,30,8.0,TVmaze average rating,"With Dwight worried about downsizing, Jim agrees to an alliance; Michael tries to increase moral be throwing a birthday party for Meredith.",47643,https://www.tvmaze.com/episodes/47643/the-office-1x04-the-alliance
episode-065,series-006,season-017,The Dundies,2,1,2005,30,8.1,TVmaze average rating,Michael hosts the annual Dundies awards.,47646,https://www.tvmaze.com/episodes/47646/the-office-2x01-the-dundies
episode-066,series-006,season-017,Sexual Harassment,2,2,2005,30,8.2,TVmaze average rating,Michael's continual sending of explicit e-mail forwards forces Dunder Mifflin to review it's sexual harassment policy; Pam's mom makes a visit to the office.,47647,https://www.tvmaze.com/episodes/47647/the-office-2x02-sexual-harassment
episode-067,series-006,season-017,Office Olympics,2,3,2005,30,8.3,TVmaze average rating,"With Michael and Dwight out of the house, Jim organizes an office Olympics.",47648,https://www.tvmaze.com/episodes/47648/the-office-2x03-office-olympics
episode-068,series-006,season-017,The Fire,2,4,2005,30,8.4,TVmaze average rating,A fire starts in the office kitchen.,47649,https://www.tvmaze.com/episodes/47649/the-office-2x04-the-fire
episode-069,series-006,season-018,Gay Witch Hunt,3,1,2006,30,8.7,TVmaze average rating,Michael finds out that Oscar is gay after Oscar files a complaint when Michael uses a homosexual slur.,47668,https://www.tvmaze.com/episodes/47668/the-office-3x01-gay-witch-hunt
episode-070,series-006,season-018,The Convention,3,2,2006,30,8.2,TVmaze average rating,Michael and Dwight go to a convention that Jim is also attending; Pam goes on her first date after her engagement.,47669,https://www.tvmaze.com/episodes/47669/the-office-3x02-the-convention
episode-071,series-006,season-018,The Coup,3,3,2006,30,8.2,TVmaze average rating,"After Jan discovers Michael has been having ""movie Monday's"", Angela encourages Dwight to make a move for Michael's job.",47670,https://www.tvmaze.com/episodes/47670/the-office-3x03-the-coup
episode-072,series-006,season-018,Grief Counseling,3,4,2006,30,7.9,TVmaze average rating,"Michael organizes grief counseling sessions following the death of his old boss, Ed Truck.",47671,https://www.tvmaze.com/episodes/47671/the-office-3x04-grief-counseling
episode-073,series-007,season-019,Chapter One: The Vanishing of Will Byers,1,1,2016,49,8.0,TVmaze average rating,"On his way home from a friend's house, young Will sees something terrifying. Nearby, a sinister secret lurks in the depths of a government lab.",553946,https://www.tvmaze.com/episodes/553946/stranger-things-1x01-chapter-one-the-vanishing-of-will-byers
episode-074,series-007,season-019,Chapter Two: The Weirdo on Maple Street,1,2,2016,56,7.8,TVmaze average rating,"Lucas, Mike and Dustin try to talk to the girl they found in the woods. Hopper questions an anxious Joyce about an unsettling phone call.",578663,https://www.tvmaze.com/episodes/578663/stranger-things-1x02-chapter-two-the-weirdo-on-maple-street
episode-075,series-007,season-019,"Chapter Three: Holly, Jolly",1,3,2016,52,8.3,TVmaze average rating,An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.,578664,https://www.tvmaze.com/episodes/578664/stranger-things-1x03-chapter-three-holly-jolly
episode-076,series-007,season-019,Chapter Four: The Body,1,4,2016,51,8.3,TVmaze average rating,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Nancy and Jonathan form an unlikely alliance.",578665,https://www.tvmaze.com/episodes/578665/stranger-things-1x04-chapter-four-the-body
episode-077,series-007,season-020,Chapter One: MADMAX,2,1,2017,48,7.9,TVmaze average rating,"As the town preps for Halloween, a high-scoring rival shakes things up at the arcade, and a skeptical Hopper inspects a field of rotting pumpkins.",909340,https://www.tvmaze.com/episodes/909340/stranger-things-2x01-chapter-one-madmax
episode-078,series-007,season-020,"Chapter Two: Trick or Treat, Freak",2,2,2017,56,8.0,TVmaze average rating,"After Will sees something terrible on trick-or-treat night, Mike wonders whether Eleven's still out there. Nancy wrestles with the truth about Barb.",909342,https://www.tvmaze.com/episodes/909342/stranger-things-2x02-chapter-two-trick-or-treat-freak
episode-079,series-007,season-020,Chapter Three: The Pollywog,2,3,2017,51,7.9,TVmaze average rating,"Dustin adopts a strange new pet, and Eleven grows increasingly impatient. A well-meaning Bob urges Will to stand up to his fears.",909343,https://www.tvmaze.com/episodes/909343/stranger-things-2x03-chapter-three-the-pollywog
episode-080,series-007,season-020,Chapter Four: Will the Wise,2,4,2017,46,8.0,TVmaze average rating,"An ailing Will opens up to Joyce -- with disturbing results. While Hopper digs for the truth, Eleven unearths a surprising discovery.",909344,https://www.tvmaze.com/episodes/909344/stranger-things-2x04-chapter-four-will-the-wise
episode-081,series-007,season-021,"Chapter One: Suzie, Do You Copy?",3,1,2019,51,7.4,TVmaze average rating,"Summer brings new jobs and budding romance. But the mood shifts when Dustin's radio picks up a Russian broadcast, and Will senses something is wrong.",1576469,https://www.tvmaze.com/episodes/1576469/stranger-things-3x01-chapter-one-suzie-do-you-copy
episode-082,series-007,season-021,Chapter Two: The Mall Rats,3,2,2019,50,7.4,TVmaze average rating,"Nancy and Jonathan follow a lead, Steve and Robin sign on to a secret mission, and Max and Eleven go shopping. A rattled Billy has troubling visions.",1576470,https://www.tvmaze.com/episodes/1576470/stranger-things-3x02-chapter-two-the-mall-rats
episode-083,series-007,season-021,Chapter Three: The Case of the Missing Lifeguard,3,3,2019,50,7.6,TVmaze average rating,"With El and Max looking for Billy, Will declares a day without girls. Steve and Dustin go on a stakeout, and Joyce and Hopper return to Hawkins Lab.",1576471,https://www.tvmaze.com/episodes/1576471/stranger-things-3x03-chapter-three-the-case-of-the-missing-lifeguard
episode-084,series-007,season-021,Chapter Four: The Sauna Test,3,4,2019,53,8.0,TVmaze average rating,"A code red brings the gang back together to face a frighteningly familiar evil. Karen urges Nancy to keep digging, and Robin finds a useful map.",1576472,https://www.tvmaze.com/episodes/1576472/stranger-things-3x04-chapter-four-the-sauna-test
episode-085,series-008,season-022,Wolferton Splash,1,1,2016,57,7.9,TVmaze average rating,"A young Princess Elizabeth marries Prince Philip. As King George VI's health worsens, Winston Churchill is elected prime minister for the second time.",560876,https://www.tvmaze.com/episodes/560876/the-crown-1x01-wolferton-splash
episode-086,series-008,season-022,Hyde Park Corner,1,2,2016,61,8.0,TVmaze average rating,"With King George too ill to travel, Elizabeth and Philip embark on a four-continent Commonwealth tour. Party leaders attempt to undermine Churchill.",731302,https://www.tvmaze.com/episodes/731302/the-crown-1x02-hyde-park-corner
episode-087,series-008,season-022,Windsor,1,3,2016,60,8.6,TVmaze average rating,"With Elizabeth in new role, Philip tries to assert some power. Churchill wants to delay the coronation. King George's disgraced brother arrives.",731303,https://www.tvmaze.com/episodes/731303/the-crown-1x03-windsor
episode-088,series-008,season-022,Act of God,1,4,2016,58,8.4,TVmaze average rating,"When dense smog cripples London for days and creates a serious health hazard, Churchill's inaction leaves him vulnerable to his political enemies.",731304,https://www.tvmaze.com/episodes/731304/the-crown-1x04-act-of-god
episode-089,series-008,season-023,Misadventure,2,1,2017,57,8.2,TVmaze average rating,"As Philip leaves for a long tour, Elizabeth makes an upsetting discovery. Prime Minister Eden wants to strike back after Egypt seizes the Suez Canal.",1272067,https://www.tvmaze.com/episodes/1272067/the-crown-2x01-misadventure
episode-090,series-008,season-023,A Company of Men,2,2,2017,55,8.0,TVmaze average rating,Elizabeth feels disconnected from Philip. Eden copes with international pressure and ill health. An interview stirs up harrowing memories for Philip.,1280886,https://www.tvmaze.com/episodes/1280886/the-crown-2x02-a-company-of-men
episode-091,series-008,season-023,Lisbon,2,3,2017,56,8.1,TVmaze average rating,Palace insiders try to prevent a scandal that could reflect poorly on Philip. Eden faces censure from his cabinet and the press.,1280887,https://www.tvmaze.com/episodes/1280887/the-crown-2x03-lisbon
episode-092,series-008,season-023,Beryl,2,4,2017,61,8.5,TVmaze average rating,"When Elizabeth and Philip throw a grand party for their 10th anniversary, both Margaret and the new Prime Minister experience romantic tribulations.",1280888,https://www.tvmaze.com/episodes/1280888/the-crown-2x04-beryl
episode-093,series-008,season-024,Olding,3,1,2019,48,7.8,TVmaze average rating,Elizabeth grows concerned as Labour Party leader Harold Wilson becomes prime minister amid anti-monarchy sentiment and rumors of his possible KGB ties.,1695484,https://www.tvmaze.com/episodes/1695484/the-crown-3x01-olding
episode-094,series-008,season-024,Margaretology,3,2,2019,48,8.6,TVmaze average rating,"With Britain in need of a financial bailout from the U.S., Elizabeth reluctantly enlists Margaret to assist in winning over President Johnson.",1752913,https://www.tvmaze.com/episodes/1752913/the-crown-3x02-margaretology
episode-095,series-008,season-024,Aberfan,3,3,2019,55,9.1,TVmaze average rating,"Following a tragic accident at a Welsh mining village that quickly becomes political, both Elizabeth and Wilson struggle with their responses.",1752915,https://www.tvmaze.com/episodes/1752915/the-crown-3x03-aberfan
episode-096,series-008,season-024,Bubbikins,3,4,2019,60,8.5,TVmaze average rating,"As the royal family makes a documentary to boost their image, an unexpected guest arrives from Greece, throwing a wrench into Philip's publicity plans.",1752916,https://www.tvmaze.com/episodes/1752916/the-crown-3x04-bubbikins
episode-097,series-009,season-025,Uno,1,1,2015,60,7.4,TVmaze average rating,Jimmy works his magic in the courtroom. Unexpected inspiration leads him to an unconventional pursuit of potential clients.,57360,https://www.tvmaze.com/episodes/57360/better-call-saul-1x01-uno
