movieId,personId,characterId,roleName,sourceUrl
movie-002,person-186,character-085,Hugh Mann,https://www.wikidata.org/wiki/Q13417189
movie-002,person-187,character-086,Joseph Cooper,https://www.wikidata.org/wiki/Q13417189
movie-002,person-188,character-082,Murphy Cooper,https://www.wikidata.org/wiki/Q13417189
movie-002,person-189,character-082,Murphy Cooper,https://www.wikidata.org/wiki/Q13417189
movie-026,person-190,character-087,John Doe,https://www.wikidata.org/wiki/Q190908
movie-026,person-191,character-088,Tracy Mills,https://www.wikidata.org/wiki/Q190908
movie-026,person-128,character-089,David Mills,https://www.wikidata.org/wiki/Q190908
movie-026,person-115,character-090,William Somerset,https://www.wikidata.org/wiki/Q190908
movie-019,person-192,character-091,George Marshall,https://www.wikidata.org/wiki/Q165817
movie-009,person-193,character-092,Jennifer Parker,https://www.wikidata.org/wiki/Q91540
movie-009,person-194,character-093,Emmett Brown,https://www.wikidata.org/wiki/Q91540
movie-009,person-195,character-094,Lorraine Baines McFly,https://www.wikidata.org/wiki/Q91540
movie-009,person-196,character-095,George McFly,https://www.wikidata.org/wiki/Q91540
movie-009,person-197,character-096,Biff Tannen,https://www.wikidata.org/wiki/Q91540
movie-009,person-198,character-097,Marty McFly,https://www.wikidata.org/wiki/Q91540
movie-020,person-199,character-098,Terminator,https://www.wikidata.org/wiki/Q170564
movie-020,person-200,character-099,Sarah Connor,https://www.wikidata.org/wiki/Q170564
movie-020,person-201,character-100,Kyle Reese,https://www.wikidata.org/wiki/Q170564
movie-020,person-202,character-101,T-1000,https://www.wikidata.org/wiki/Q170564
movie-020,person-203,character-102,John Connor,https://www.wikidata.org/wiki/Q170564
movie-020,person-204,character-103,Peter Silberman,https://www.wikidata.org/wiki/Q170564
movie-020,person-205,character-104,Miles Dyson,https://www.wikidata.org/wiki/Q170564
movie-020,person-206,character-102,John Connor,https://www.wikidata.org/wiki/Q170564
movie-018,person-135,character-105,Beatrix Kiddo,https://www.wikidata.org/wiki/Q165325
movie-018,person-207,character-106,Bill,https://www.wikidata.org/wiki/Q165325
movie-018,person-208,character-107,O-Ren Ishii,https://www.wikidata.org/wiki/Q165325
movie-018,person-209,character-108,Elle Driver,https://www.wikidata.org/wiki/Q165325
movie-018,person-210,character-109,Vernita Green,https://www.wikidata.org/wiki/Q165325
movie-018,person-211,character-110,Budd,https://www.wikidata.org/wiki/Q165325
movie-018,person-212,character-111,Gogo Yubari,https://www.wikidata.org/wiki/Q165325
movie-018,person-213,character-112,Sofie Fatale,https://www.wikidata.org/wiki/Q165325
movie-015,person-214,character-113,Adolf Hitler,https://www.wikidata.org/wiki/Q153723
movie-015,person-215,character-114,Joseph Goebbels,https://www.wikidata.org/wiki/Q153723
movie-015,person-216,character-115,Hans Landa,https://www.wikidata.org/wiki/Q153723
movie-015,person-217,character-116,Winston Churchill,https://www.wikidata.org/wiki/Q153723
movie-001,person-218,character-117,Broomhilda von Shaft,https://www.wikidata.org/wiki/Q571032
movie-001,person-219,character-118,Amerigo Vessepi,https://www.wikidata.org/wiki/Q571032
movie-001,person-220,character-119,Cora,https://www.wikidata.org/wiki/Q571032
movie-001,person-216,character-120,King Schultz,https://www.wikidata.org/wiki/Q571032
movie-001,person-221,character-121,Django Freeman,https://www.wikidata.org/wiki/Q571032
movie-001,person-136,character-122,Stephen,https://www.wikidata.org/wiki/Q571032
movie-001,person-222,character-123,Spencer Bennett,https://www.wikidata.org/wiki/Q571032
movie-001,person-223,character-124,Billy Crash,https://www.wikidata.org/wiki/Q571032
movie-004,person-224,character-125,Natasha Romanoff,https://www.wikidata.org/wiki/Q23780914
movie-004,person-191,character-126,Pepper Potts,https://www.wikidata.org/wiki/Q23780914
movie-004,person-225,character-127,Thanos,https://www.wikidata.org/wiki/Q23780914
movie-004,person-226,character-128,Bruce Banner,https://www.wikidata.org/wiki/Q23780914
movie-004,person-227,character-129,Thor,https://www.wikidata.org/wiki/Q23780914
movie-004,person-228,character-130,Thaddeus Ross,https://www.wikidata.org/wiki/Q23780914
movie-004,person-229,character-131,Tony Stark,https://www.wikidata.org/wiki/Q23780914
movie-004,person-136,character-132,Nick Fury,https://www.wikidata.org/wiki/Q23780914
movie-005,person-224,character-125,Natasha Romanoff,https://www.wikidata.org/wiki/Q23781155
movie-005,person-191,character-126,Pepper Potts,https://www.wikidata.org/wiki/Q23781155
movie-005,person-226,character-128,Bruce Banner,https://www.wikidata.org/wiki/Q23781155
movie-005,person-230,character-133,Alexander Pierce,https://www.wikidata.org/wiki/Q23781155
movie-005,person-228,character-130,Thaddeus Ross,https://www.wikidata.org/wiki/Q23781155
movie-005,person-231,character-134,Hope van Dyne,https://www.wikidata.org/wiki/Q23781155
